malloc|void *|size_t,size|NULL|ENOMEM
calloc|void *|size_t,nmemb,size_t,size|NULL|ENOMEM
realloc|void *|void *,ptr,size_t,size|NULL|ENOMEM
mmap|void *|void *,addr,size_t,length,int,prot,int,flags,int,fd,off_t,offset|MAP_FAILED|EACCES,EAGAIN,EBADF,EINVAL,ENFILE,ENODEV,ENOMEM,EPERM,ETXTBSY,EOVERFLOW

fstat|int|int,fd,struct stat *,buf|-1|EACCES,EBADF,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EOVERFLOW
lstat|int|const char *,pathname,struct stat *,buf|-1|EACCES,EBADF,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EOVERFLOW
fstatat|int|int,dirfd,const char *,pathname,struct stat *,buf,int,flags|-1|EACCES,EBADF,EFAULT,ELOOP,ENAMETOOLONG,ENOENT,ENOMEM,ENOTDIR,EOVERFLOW,EBADF,EINVAL,ENOTDIR

# open and openat is specialized.
creat|int|const char *,pathname,mode_t,mode|-1|EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
lseek|off_t|int,fd,off_t,offset,int,whence|-1|EBADF,EINVAL,EOVERFLOW,ESPIPE,ENXIO
read|ssize_t|int,fd,void *,buf,size_t,count|-1|EAGAIN,EBADF,EFAULT,EINTR,EINVAL,EIO,EISDIR
write|ssize_t|int,fd,const void *,buf,size_t,count|-1|EAGAIN,EBADF,EDESTADDRREQ,EDQUOT,EFAULT,EFBIG,EINTR,EINVAL,EIO,ENOSPC,EPERM,EPIPE
close|int|int,fd|-1|EBADF,EINTR,EIO

# fcntl
# ioctl

fopen|FILE *|const char *,path,const char *,mode|NULL|ENOMEM,EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
fdopen|FILE *|int,fd,const char *,mode|NULL|EINVAL,ENOMEM
freopen|FILE *|const char *,path,const char *,mode, FILE *,stream|NULL|ENOMEM,EACCES,EEXIST,EFAULT,EINTR,EINVAL,EISDIR,ELOOP,ENAMETOOLONG,ENFILE,ENOENT,ENOSPC,ENOTDIR,EOVERFLOW,EPERM
# fread
# fwrite
# fseek

